07/10 09:46:47,Initial commit
07/11 09:38:09,Initial commit
07/11 13:56:30,Basic tests , 8
07/19 16:50:35,Small changes
07/20 22:49:39,Debug screenshots , 0.25
07/20 22:50:52,Requirements
07/21 00:46:36,Octave detection , 2
07/21 16:18:05,First complete test , 4
07/21 17:36:38,Tests , 0.5
07/21 23:41:38,UI@ Fixed homophony@ attempt at polyphony
07/21 23:45:01,Comment , 2.75
07/23 20:30:03,Refactoring and other changes ,  1.5
07/23 20:32:18,Refactoring and other changes , 1.5
07/24 22:29:12,Refactoring and output changes
07/24 22:29:49,Forgot time , 1.5
07/24 23:50:20,New note detection algorithm , 1.25
07/26 00:56:08,More polyphony experiments. Better homophony , 2
07/26 16:17:58,Time grid snapping tests , 0.5
07/27 20:34:58,More tests , 0.75
07/27 23:45:12,Further tests , 1.75
07/27 23:47:24,Further tests , 1.75
07/28 00:19:55,UI improvements , 0.5
07/31 00:27:48,Refactoring and minor UI changes , 0.5
08/05 21:13:14,Refactoring , 1
08/06 18:13:16,Updated requirements.txt , 0
08/16 22:44:44,Refactoring , 0.25
08/18 00:17:27,Many fixes and improvements , 2
08/18 19:23:39,Rewrote NoteGenerator. Stil pretty bad though , 2
08/20 01:07:11,More NoteGenerator changes , 2
08/20 22:12:15,Attempt at better note discardment , 1.25
08/21 22:24:48,Rewrote NoteGenerator@ more tests required , 2.25
08/23 23:36:07,Correct homophony support@ better beat alignment@ improvements , 3
08/24 22:00:05,Scoring system@ further experiments & started volume change , 1.5
08/24 22:00:38,,
08/25 17:10:06,Volume experiments , 0.25
08/27 23:09:01,Rewrote strength system@ many improvements@ started new octave system , 3.5
08/28 13:12:22,Many tests@ research@ improvements. , 2.25
08/30 22:51:30,Machine Learning was sadly not effective , 7
09/04 12:22:26,Fixes , 0
09/04 22:37:17,Refactoring and tests , 1
09/08 12:32:40,Minor changes and refactoring , 0.5
09/08 21:49:08,Started octave improvements , 1.5
09/08 21:51:00,,
09/08 23:03:07,Note detection changes , 1
09/11 18:46:08,Preparations for more changes@ and partial rewrite
09/11 20:40:56,Frame processor rewrite@ tests. , 1.25
09/12 11:49:29,Attempts to get homophony working again , 0.5
09/14 15:23:14,Fixed homophony@ changed note detection@ added testing. , 1.5
09/17 11:16:58,Started UX@ configuration files@ arguments@ etc. , 1
09/18 11:32:38,Small changes to config parsing , 0.5
09/26 20:18:20,,
09/26 21:16:33,,
09/26 23:04:20,ML finally working. Refactoring , 2
09/27 15:59:26,Refactoring , 1.5
09/27 20:44:42,Bach experiments , 0.25
09/28 11:26:08,Time signature , 0
09/28 12:29:15,Refactoring , 0.5
09/30 16:46:29,Started on NoteGenerator rewrites , 1.25
09/30 18:11:53,Flowchart and some restructuring , 1
09/30 20:48:47,Full pipeline functional , 1
09/30 22:07:22,Config restructuring , 0.75
10/03 22:48:14,Refactoring and key recoginition , 1
10/05 12:16:27,Refactoring and time signature , 0.75
10/10 12:50:33,Minor refactoring and restructuring , 0.5
10/12 20:34:26,Minor changes , 0
10/13 12:47:16,Testing improvements , 0.25
10/15 00:04:28,Refactoring@ CUI improvements@ QOL@ tempo and cqt experiments , 2.5
10/17 21:06:50,Major refactoring@ some setup for large tests , 2
10/18 12:24:15,Readme , 0
10/18 21:13:10,Icon , 0
10/22 12:18:32,More major refacotring and started trainingdataprocessor changes , 2
10/22 13:41:30,Trainingdata processing refactoring@ more preparations for large datasets , 1
11/07 12:39:55,Minor TimeSigFinder changes , 0.25
11/07 21:02:13,Real training data experiments , 0.5
11/07 21:39:45,Tried to fix training data processor@ still isn't working , 0.5
11/13 10:41:50,Fixed trainingdata processor@ painfully slow though. , 0.5
